PRT_ID,AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
P03993,Karapakkam,692,28-11-2010,13,1.0,1.0,2,Partial,Yes,06-12-1977,House,NoSeWa,Paved,C,3.0,3.6,4.0,3.58,165973,80744,4485750
P07250,Velachery,1634,06-01-2009,50,2.0,1.0,4,Partial,No,19-01-1957,House,ELO,Gravel,A,4.5,3.0,4.2,3.74,244564,45051,6435890
P08337,Velachery,1729,08-02-2008,144,2.0,1.0,4,Partial,Yes,18-02-1967,Commercial,NoSewr ,Paved,A,3.3,4.0,4.0,3.83,396911,128036,12803570
P01708,T Nagar,1510,23-02-2012,54,1.0,1.0,4,AbNormal,No,27-02-1994,Others,ELO,No Access,RH,5.0,4.5,2.0,3.525,365650,53772,10754410
P03821,Anna Nagar,1598,06-01-2011,104,1.0,1.0,4,Family,Yes,12-01-1986,House,NoSewr ,Gravel,RM,3.9,2.9,4.4,3.85,454192,66793,13358600
P05174,Chrompet,1231,15-04-2010,48,2.0,1.0,4,Partial,Yes,16-04-2004,Commercial,AllPub,Paved,RH,4.0,2.5,2.4,2.92,456195,156817,14256100
P01473,Anna Nagar,1514,16-04-2012,72,1.0,1.0,4,AdjLand,No,24-04-1980,House,NoSewr ,No Access,RM,4.5,4.4,5.0,4.675,330127,91070,11383690
P09756,Velachery,1857,13-09-2005,170,3.0,2.0,5,Partial,Yes,25-09-1959,Others,ELO,No Access,RL,4.0,2.2,2.0,2.59,336220,193581,10188470
P03446,Karapakkam,1505,24-03-2011,175,2.0,2.0,4,Family,Yes,03-04-1970,Commercial,NoSeWa,Gravel,RL,2.2,2.6,4.5,3.24,537548,230378,12798750
P09785,Velachery,1725,27-07-2005,61,2.0,1.0,4,Family,Yes,31-07-1990,Others,ELO,No Access,RM,4.2,2.6,2.7,3.03,340840,208902,10994850
P06689,Anna Nagar,1927,25-06-2009,75,2.0,1.0,5,AdjLand,No,03-07-1979,Others,NoSewr ,No Access,RM,4.2,3.0,4.8,4.14,504749,144214,14421410
P06479,Karapakkam,586,10-08-2009,178,1.0,1.0,2,Normal Sale,Yes,19-08-1974,Commercial,NoSeWa,Paved,C,2.4,2.7,4.2,3.21,292613,122897,5852250
P03665,Anna Nagar,1833,05-02-2011,9,2.0,1.0,5,Partial,Yes,14-02-1974,Commercial,NoSewr ,Paved,RL,4.3,2.7,4.1,3.82,515704,165025,20628140
P05222,Karapakkam,1173,07-04-2010,79,1.0,1.0,3,Family,No,12-04-1988,Others,AllPub,Gravel,RM,4.1,3.5,2.7,3.36,367285,131173,8744875
P03259,Karapakkam,615,24-04-2011,18,1.0,1.0,2,Normal Sale,Yes,06-05-1963,House,NoSewr ,No Access,A,3.2,2.4,5.0,3.68,121201,54222,3189500
P05946,T Nagar,1769,23-11-2009,79,1.0,1.0,4,AdjLand,No,30-11-1983,Commercial,NoSewr ,Paved,RM,3.9,3.0,4.0,3.72,680240,144293,20613320
P07272,Chrompet,705,01-01-2009,110,1.0,1.0,2,AdjLand,No,06-01-1991,House,AllPub,Paved,RL,3.2,5.0,4.7,4.37,194888,112436,7495700
P09799,Velachery,1920,22-06-2005,192,3.0,2.0,5,AdjLand,No,05-07-1953,Others,NoSeWa,No Access,I,3.6,3.2,3.4,3.36,293886,71245,8905640
P09945,Velachery,1601,03-08-2004,188,2.0,1.0,4,Normal Sale,Yes,12-08-1970,Others,ELO,Paved,A,4.3,3.2,4.8,3.96,246695,148017,8223180
P00100,T Nagar,1756,12-12-2014,12,1.0,1.0,4,Partial,No,20-12-1983,House,NoSeWa,Gravel,RL,5.0,5.0,3.5,4.325,483743,133029,12093570
P09612,Velachery,1781,09-07-2006,30,2.0,1.0,4,AbNormal,No,18-07-1968,House,AllPub,Paved,RM,2.9,2.8,4.8,3.43,391892,190922,10048510
P03428,Velachery,1596,29-03-2011,87,2.0,1.0,4,Partial,No,30-03-2005,Commercial,ELO,Gravel,C,3.9,4.3,2.1,3.54,426242,200584,12536520
P07050,KK Nagar,2112,10-03-2009,77,3.0,2.0,5,AdjLand,No,13-03-1996,Commercial,NoSewr ,Gravel,RH,2.8,3.0,2.1,2.58,804310,351886,16756460
P03662,Karapakkam,1615,05-02-2011,171,2.0,2.0,4,Normal Sale,Yes,16-02-1968,Commercial,ELO,Paved,RM,4.5,3.6,2.6,3.47,576942,147590,13417250
P02738,Karapakkam,916,08-08-2011,113,1.0,1.0,3,Normal Sale,Yes,19-08-1966,Others,NoSeWa,Gravel,A,3.4,5.0,2.0,3.32,266278,114119,5434250
P02105,Anna Nagar,1791,10-12-2011,91,1.0,1.0,4,AbNormal,No,14-12-1992,Commercial,NoSeWa,Paved,RH,2.3,4.7,2.6,3.02,493791,303872,18991980
P02279,Karapakkam,1226,31-10-2011,168,1.0,1.0,3,AbNormal,No,02-11-2001,House,NoSewr ,Paved,A,4.7,3.3,3.7,3.88,183618,127513,5100500
P07406,KK Nagar,2340,21-11-2008,88,4.0,2.0,6,Family,Yes,27-11-1987,House,NoSeWa,Paved,RL,3.8,2.3,4.4,3.59,421450,180621,12041420
P09114,Adyar,994,03-04-2007,106,1.0,1.0,3,Normal Sale,No,06-04-1995,Commercial,AllPub,Gravel,A,2.9,4.9,2.8,3.25,433395,54174,10834880
P02737,Karapakkam,594,08-08-2011,195,1.0,1.0,2,Family,No,18-08-1969,House,AllPub,No Access,RM,3.9,3.5,4.5,4.02,201723,69011,5308500
P03377,Chrompet,771,06-04-2011,175,1.0,1.0,2,AdjLand,No,14-04-1977,Others,NoSewr ,Paved,RM,2.9,3.7,4.0,3.55,257578,33236,8308970
P02351,Karapakkam,895,19-10-2011,44,1.0,1.0,3,AdjLand,No,31-10-1963,House,ELO,Gravel,I,2.4,3.8,4.1,3.5,168563,48938,5437500
P01055,Anna Nagar,1898,22-01-2013,86,2.0,1.0,5,Family,Yes,24-01-2007,House,NoSeWa,No Access,RL,2.7,2.4,2.1,2.385,340108,196216,13081070
P04182,Velachery,1808,21-10-2010,12,3.0,2.0,5,Family,No,04-11-1955,Commercial,NoSewr ,No Access,RL,4.3,3.1,3.5,3.52,542034,138983,13898300
P04104,KK Nagar,1934,07-11-2010,28,3.0,2.0,5,Family,No,13-11-1987,House,NoSewr ,Gravel,RM,3.6,3.1,2.3,2.93,425711,261976,10915660
P08009,Anna Nagar,1539,23-05-2008,123,1.0,1.0,4,Family,No,28-05-1988,House,ELO,Paved,RL,3.1,2.4,2.2,2.565,268909,64538,10756350
P09502,Chrompet,1181,06-11-2006,12,1.0,1.0,3,Family,No,10-11-1990,Others,NoSeWa,Gravel,RL,2.6,4.3,2.6,3.28,246189,98476,9847570
P05446,Adyar,667,22-02-2010,71,1.0,1.0,2,Partial,Yes,24-02-2004,House,ELO,Paved,RH,3.5,4.6,3.7,3.82,278764,7336,7335890
P06084,Anna Nagar,1797,27-10-2009,140,1.0,1.0,4,AbNormal,Yes,03-11-1980,Commercial,NoSeWa,Paved,RL,3.3,2.7,3.7,3.31,574265,246114,20509480
P09054,T Nagar,1540,30-04-2007,70,1.0,1.0,4,Partial,No,01-05-2001,Commercial,NoSeWa,Gravel,RH,2.5,4.1,4.3,3.71,557959,174362,17436220
P04486,KK Nagar,1734,22-08-2010,61,2.0,1.0,4,Normal Sale,Yes,28-08-1986,Commercial,NoSeWa,Paved,RM,4.1,3.7,4.1,3.98,644638,330180,15722880
P08987,Adyar,845,23-05-2007,200,1.0,1.0,3,AbNormal,No,30-05-1978,House,AllPub,Gravel,I,4.6,3.3,4.4,4.24,233208,109316,7287735
P04260,Velachery,1666,04-10-2010,70,2.0,1.0,4,Normal Sale,No,08-10-1995,Others,NoSewr ,No Access,A,4.1,3.6,4.6,4.03,220283,102799,7342750
P05523,Chrompet,1283,09-02-2010,191,2.0,1.0,4,Family,Yes,16-02-1981,House,AllPub,No Access,RL,4.4,4.1,2.6,3.74,249776,76854,9606750
P01749,Karapakkam,1435,14-02-2012,81,2.0,2.0,4,AbNormal,Yes,24-02-1972,Commercial,NoSeWa,Paved,I,3.6,2.6,4.3,3.58,389268,173008,10813000
P03462,Velachery,1634,22-03-2011,155,2.0,1.0,4,AbNormal,Yes,23-03-2005,Commercial,AllPub,Gravel,I,4.2,3.2,3.4,3.51,491740,223518,14901220
P03295,Karapakkam,647,18-04-2011,10,1.0,1.0,2,AdjLand,Yes,27-04-1974,House,AllPub,Gravel,A,3.1,2.2,3.6,3.03,198850,104396,4971250
P09134,Adyar,1146,26-03-2007,197,1.0,1.0,3,AbNormal,Yes,05-04-1967,House,ELO,No Access,RL,3.1,3.4,3.4,3.31,287606,62914,8987700
P09164,Velachery,1672,12-03-2007,190,2.0,1.0,4,AbNormal,Yes,23-03-1963,House,NoSeWa,Paved,A,4.3,2.8,4.1,3.57,240385,142729,7512030
P00717,Chrompet,885,19-09-2013,122,1.0,1.0,3,Family,No,27-09-1981,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,7194600
P02309,Karapakkam,1476,26-10-2011,167,2.0,2.0,4,AbNormal,No,03-11-1979,Commercial,NoSewr ,Paved,RL,4.4,3.4,4.4,4.1,576800,126896,11536000
P08145,T Nagar,1806,09-04-2008,48,2.0,1.0,5,AdjLand,No,15-04-1987,Others,NoSeWa,Paved,RM,4.8,3.9,4.5,4.44,439164,102472,14638800
P02233,Karapakkam,579,10-11-2011,7,1.0,1.0,2,Normal Sale,No,19-11-1975,Others,AllPub,Gravel,I,3.9,4.2,3.8,3.95,191240,125816,5032625
P06707,Anna Nagar,1822,19-06-2009,195,2.0,1.0,5,Normal Sale,Yes,22-06-1997,Commercial,AllPub,No Access,RM,4.4,3.3,4.9,4.325,733135,172502,21562790
